round,n,m,W,P,Lmax,seen,quick,exact,deg2,survivors
140,6,10,5;6,1;2;3;4,6,15,0,15,0,0
141,8,14,4;6,3;5;6,6,1646,268,1377,1,0
142,7,8,4,1;4;5,4,97,25,63,0,9
143,10,12,3;4;7;8;10,2;3;5;6;7;8;9,10,15772,0,13459,285,2028
144,6,13,3;4;5;6,1;2;4,6,2,0,0,2,0
145,9,10,3;5;6;8;9,1;2;4;5,9,1637,0,1398,0,239
146,9,9,6;7,2;3;8,7,771,2,750,0,19
147,9,13,4;7,1;3;5;6;7,7,10120,225,9893,0,2
148,7,16,3;4,2;6,4,21,21,0,0,0
149,8,16,3;4;8,3;4;5;7,8,1312,0,1312,0,0
150,6,11,3;5;6,1;5,6,9,0,9,0,0
151,9,16,3;5;6;8,1;6;8,8,27987,185,27802,0,0
152,6,11,4;5;6,1;2,6,9,0,9,0,0
153,9,20,3;4;8;9,2;3;4;5;8,9,27987,0,27987,0,0
154,6,8,4;5;6,1;2;3;4,6,24,0,22,0,2
155,7,14,5;6,2;4,6,65,8,57,0,0
156,7,9,6,2,6,131,3,128,0,0
157,10,19,3;5;6;8;9,2;4;5;6;7;8,9,828728,2802,825926,0,0
158,9,15,5;6;9,3;4;6;7,9,21933,0,21933,0,0
159,9,20,4;7,4;5;6;7;8,7,27987,4588,23399,0,0
160,10,15,3;4;5;6;7;8;9,7;8;9,9,136433,112,11001,46329,78991
161,8,13,3;4;5;6,3;4;5;6;7,6,1557,183,1040,297,37
162,9,18,5;6;7;8;9,1;3;5,9,34040,0,34040,0,0
163,6,8,5;6,1;2;3;4;5,6,24,0,24,0,0
164,8,8,8,1;2;3;6,8,221,0,220,0,1
165,10,15,3;6;8,5;9,8,136433,1925,134508,0,0
166,8,15,3,1;2;3;5,3,1557,1556,1,0,0
167,9,16,5;8,1;2;5;6;7,8,27987,185,27802,0,0
168,8,13,4;6;8,1;3;4;5;6;7,8,1557,0,1550,7,0
169,8,7,3;4;7,3;5;7,7,115,0,17,2,96
170,7,11,3;4;5;6,2;6,6,148,3,55,69,21
171,8,9,3;5;8,3;4;5;7,8,402,0,361,0,41
172,10,20,3;6;7;9;10,2;3;7,10,1061159,0,1061159,0,0
173,10,12,4;6;7;8,4;9,8,15772,46,14940,25,761
174,6,14,5,1;3,5,1,0,1,0,0
175,7,6,3;5;6;7,2;4;5;6,7,41,0,12,0,29
176,7,11,3;4;5;6;7,4;6,7,148,0,0,87,61
177,10,12,6;7;8,3;4;5,8,15772,46,15724,0,2
178,8,17,3;6,4;5,6,980,240,740,0,0
179,8,8,4;5;6;7,1;3;7,7,221,1,152,0,68
